,Formula,material_id,GVRH,PHONONS,PIEZO,DIELECTRIC,EXP_BAND_GAP
1164,Nb4 Cr4 P4,mp-20144,1.0,0.0,0.0,0.0,0.0
1165,Zr4 Mn4 P4,mp-20147,1.0,0.0,0.0,0.0,0.0
1166,Nd2 Si4 Ru2,mp-28665,1.0,0.0,0.0,0.0,0.0
1167,Ca20 Bi12,mp-27145,1.0,0.0,0.0,0.0,0.0
1168,Mn2 Pd6,mp-31138,1.0,0.0,0.0,0.0,0.0
1169,Ge6 Bi8 O24,mp-23560,1.0,0.0,0.0,0.0,0.0
1170,Cs2 Pt1 Cl6,mp-23406,1.0,1.0,0.0,1.0,0.0
1171,Be8 P16,mp-27148,1.0,0.0,0.0,0.0,0.0
1172,Th1 Sb1,mp-1751,1.0,0.0,0.0,0.0,0.0
1173,Mg1 Br2,mp-30034,1.0,0.0,0.0,1.0,0.0
1174,Ba2 Zn2 Si2,mp-31147,1.0,0.0,0.0,0.0,0.0
1175,Ge8 As16,mp-17524,1.0,0.0,0.0,0.0,0.0
1176,Ba2 Zn2 Sn2,mp-31148,1.0,0.0,0.0,0.0,0.0
1177,Ti10 Si6,mp-2108,1.0,0.0,0.0,0.0,0.0
1178,Y2 Mg1 Al1,mp-865602,1.0,0.0,0.0,0.0,0.0
1179,Ta2 I4 Cl4,mp-28683,1.0,0.0,0.0,0.0,0.0
1180,Ca4 Ga4 Pt4,mp-31152,1.0,0.0,0.0,0.0,0.0
1181,Ca4 Ge4 Pt4,mp-31153,1.0,0.0,0.0,0.0,0.0
1182,Cs2 Pb1 Cl6,mp-23425,1.0,1.0,0.0,0.0,0.0
1183,Co4 Ge8,mp-30045,1.0,0.0,0.0,0.0,0.0
1184,Cs8 Ru4 O16,mp-17546,1.0,0.0,0.0,0.0,0.0
1185,Mg4 Ta2 N6,mp-1029442,1.0,0.0,0.0,0.0,0.0
1186,Ti12 Fe12 Si24,mp-21662,1.0,0.0,0.0,0.0,0.0
1187,Ni3 Sn4,mp-20174,1.0,0.0,0.0,0.0,0.0
1188,Ho2 Tl1 Ag1,mp-861993,1.0,0.0,0.0,0.0,0.0
1189,Er2 Al4 Ni2,mp-31182,1.0,0.0,0.0,0.0,0.0
1190,Ce8 C12,mp-20181,1.0,0.0,0.0,0.0,0.0
1191,P2 Pd3 S8,mp-3006,1.0,0.0,0.0,0.0,1.0
1192,Lu1 Ni1 Sb1,mp-20185,1.0,0.0,0.0,0.0,0.0
1193,Dy16 O24,mp-2345,1.0,0.0,0.0,0.0,1.0
1194,Hf1 Zn1 Ir2,mp-864798,1.0,0.0,0.0,0.0,0.0
1195,Cs2 Pt1 Br6,mp-30062,1.0,1.0,0.0,1.0,0.0
1196,Mg2 Sn8 Ru2,mp-20202,1.0,0.0,0.0,0.0,0.0
1197,Sr1 Al1 Si1 H1,mp-570485,1.0,1.0,1.0,0.0,0.0
1198,Hf4 Mn4 Si4,mp-20192,1.0,0.0,0.0,0.0,0.0
1199,Al2 Ir1 Rh1,mp-862694,1.0,0.0,0.0,0.0,0.0
1200,Al2 Zn1 Se4,mp-7907,1.0,1.0,1.0,1.0,0.0
1201,Cr4 Ga2 C2,mp-20197,1.0,0.0,0.0,0.0,0.0
1202,K2 Ru1 Cl6,mp-23471,1.0,0.0,0.0,0.0,1.0
1203,Sr4 Bi2 O1,mp-1025351,1.0,0.0,0.0,0.0,0.0
1204,Li12 Mo2 N8,mp-8804,1.0,0.0,0.0,0.0,0.0
1205,Rb2 Pb1 Cl6,mp-23475,1.0,0.0,0.0,1.0,0.0
1206,Cd8 N16 O48,mp-27198,1.0,0.0,0.0,0.0,0.0
1207,Cs2 Pd1 F6,mp-504729,1.0,1.0,0.0,0.0,0.0
1208,K2 Mg1 F4,mp-31212,1.0,1.0,0.0,1.0,0.0
1209,Mg2 B18 N2,mp-30091,1.0,0.0,0.0,0.0,0.0
1210,Th1 In3,mp-20206,1.0,0.0,0.0,0.0,0.0
1211,Rb2 Ni2 Cl6,mp-23486,1.0,0.0,0.0,1.0,0.0
1212,K2 Ca2 Bi2,mp-773137,1.0,1.0,0.0,1.0,0.0
1213,Tl10 Se4 I2,mp-23488,1.0,0.0,0.0,0.0,0.0
1214,K4 I4 O12,mp-23487,1.0,0.0,0.0,0.0,0.0
1215,Lu2 Mg1 In1,mp-865240,1.0,0.0,0.0,0.0,0.0
1216,V18 C15,mp-28731,1.0,0.0,0.0,0.0,0.0
1217,V2 Cr1 Fe1,mp-865490,1.0,0.0,0.0,0.0,0.0
1218,Al2 Si2 Te6,mp-31220,1.0,0.0,0.0,0.0,0.0
1219,Pr4 Ru1 I5,mp-28736,1.0,0.0,0.0,0.0,0.0
1220,U1 Ga3,mp-20214,1.0,0.0,0.0,0.0,0.0
1221,Mg4 Sb8 O16,mp-27219,1.0,0.0,0.0,0.0,0.0
1222,K2 Pt1 Cl6,mp-23513,1.0,0.0,0.0,1.0,0.0
1223,Tm2 Mg1 Os1,mp-865361,1.0,0.0,0.0,0.0,0.0
1224,Er1 Cu5,mp-30579,1.0,0.0,0.0,0.0,0.0
1225,Li2 Ag6 O4,mp-27227,1.0,1.0,0.0,0.0,0.0
1226,Th1 Ge2 Rh2,mp-3011,1.0,0.0,0.0,0.0,0.0
1227,Ce1 Pb3,mp-20225,1.0,0.0,0.0,0.0,0.0
1228,K4 Cl4 O16,mp-23526,1.0,0.0,0.0,0.0,0.0
1229,Y2 Zn17,mp-17639,1.0,0.0,0.0,0.0,0.0
1230,K2 Os1 Cl6,mp-23533,1.0,0.0,0.0,0.0,0.0
1231,P4 Pb4 S12,mp-20199,1.0,0.0,0.0,0.0,0.0
1232,Sc1 Si2 Ni2,mp-3587,1.0,0.0,0.0,0.0,0.0
1233,Pr2 Al2 O6,mp-3466,1.0,0.0,0.0,0.0,0.0
1234,Nd1 I2,mp-28753,1.0,0.0,0.0,0.0,0.0
1235,Li1 Pm2 Os1,mp-862841,1.0,0.0,0.0,0.0,0.0
1236,Fe1 Si4 P4,mp-9198,1.0,1.0,1.0,1.0,0.0
1237,Th1 Fe2 Ge2,mp-20238,1.0,0.0,0.0,0.0,1.0
1238,Ca2 Cd1 Pb1,mp-865167,1.0,0.0,0.0,0.0,0.0
1239,Pd34 Se30,mp-21765,1.0,0.0,0.0,0.0,0.0
1240,Ce2 Fe2 Si2,mp-20245,1.0,0.0,0.0,0.0,0.0
1241,Ag8 Bi4 O12,mp-23558,1.0,0.0,0.0,0.0,1.0
1242,Nd1 Mg1 Ni4,mp-11194,1.0,0.0,0.0,0.0,1.0
1243,Ga1 Cu1 Pt2,mp-644280,1.0,0.0,0.0,0.0,0.0
1244,Ag1 Cl1 O4,mp-22993,1.0,0.0,1.0,0.0,0.0
1245,As2 Pd6 Pb4,mp-20257,1.0,0.0,0.0,0.0,1.0
1246,Ho3 In3 Cu3,mp-3015,1.0,0.0,0.0,0.0,0.0
1247,Ti1 Be1 Ir2,mp-866154,1.0,0.0,0.0,0.0,0.0
1248,Ca1 In1,mp-20263,1.0,0.0,0.0,0.0,0.0
1249,Cu2 Au2 Se8,mp-30151,1.0,0.0,0.0,0.0,0.0
1250,Ti4 Ge4 Pd4,mp-20268,1.0,0.0,0.0,0.0,0.0
1251,Gd1 Pt3,mp-20272,1.0,0.0,0.0,0.0,0.0
1252,Li12 B4 O12,mp-27275,1.0,0.0,0.0,0.0,0.0
1253,Nb1 In1 Se2,mp-20279,1.0,0.0,0.0,0.0,0.0
1254,P4 Cl12 O4,mp-27277,1.0,0.0,0.0,0.0,0.0
1255,Dy4 Si4 Ir4,mp-20281,1.0,0.0,0.0,0.0,1.0
1256,Pt2 S2,mp-288,1.0,1.0,0.0,0.0,0.0
1257,Ga1 Cu1 I4,mp-29403,1.0,1.0,1.0,0.0,0.0
1258,La2 Si4 Ru2,mp-28795,1.0,0.0,0.0,0.0,1.0
1259,Sc10 Sn6,mp-17695,1.0,0.0,0.0,0.0,0.0
1260,Sm1 In1,mp-20298,1.0,0.0,0.0,0.0,0.0
1261,Ca1 Al2 Zn2,mp-30175,1.0,0.0,0.0,0.0,1.0
1262,Ce1 Al3 Ni2,mp-20338,1.0,0.0,0.0,0.0,1.0
1263,Th1 Al3 Ni2,mp-30182,1.0,0.0,0.0,0.0,0.0
1264,Fe1 H4 Cl2 O2,mp-23880,1.0,0.0,0.0,0.0,0.0
1265,Cd1 In1 Pd2,mp-862374,1.0,0.0,0.0,0.0,0.0
1266,Zr1 Al5 Ni2,mp-30183,1.0,0.0,0.0,0.0,1.0
1267,Ga4 Te2 S4,mp-27255,1.0,1.0,0.0,0.0,0.0
1268,Gd16 O24,mp-504886,1.0,0.0,0.0,0.0,1.0
1269,Fe1 Pd3,mp-21845,1.0,0.0,0.0,0.0,1.0
1270,K2 Mn1 Cl6,mp-27304,1.0,0.0,0.0,1.0,0.0
1271,Ti4 In2 C2,mp-20315,1.0,0.0,0.0,0.0,0.0
1272,K2 P2 H4 O8,mp-23959,1.0,0.0,0.0,0.0,1.0
1273,Ca3 B1 N3,mp-30315,1.0,1.0,0.0,1.0,0.0
1274,Mn4 Si4 Ir4,mp-21851,1.0,0.0,0.0,0.0,0.0
1275,Nd1 Fe2 Si2,mp-3489,1.0,0.0,0.0,0.0,0.0
1276,Ta2 As2,mp-1936,1.0,0.0,0.0,0.0,1.0
1277,Na1 N1 O2,mp-2964,1.0,1.0,1.0,1.0,0.0
1278,Ba1 Nb1 O3,mp-3020,1.0,0.0,0.0,0.0,0.0
1279,Mn4 Nb4 P4,mp-20335,1.0,0.0,0.0,0.0,0.0
1280,Ce1 Ga3 Pd2,mp-3494,1.0,0.0,0.0,0.0,0.0
1281,Sc4 Co6 Si2,mp-27319,1.0,0.0,0.0,0.0,0.0
1282,Ho1 In1 Cu2,mp-30586,1.0,0.0,0.0,0.0,0.0
1283,Cs4 Cl4 O16,mp-30206,1.0,0.0,0.0,0.0,0.0
1284,U3 Si2 C2,mp-28838,1.0,0.0,0.0,0.0,0.0
1285,Y2 Cu2 P4,mp-30208,1.0,0.0,0.0,0.0,0.0
1286,Li4 B4 H16,mp-30209,1.0,0.0,0.0,0.0,0.0
1287,Ba3 In2 O6,mp-20352,1.0,1.0,0.0,0.0,0.0
1288,Ta2 H1,mp-24082,1.0,0.0,0.0,0.0,0.0
1289,Na2 Al2 H8,mp-23704,1.0,0.0,0.0,0.0,0.0
1290,Ca4 H8,mp-23713,1.0,0.0,0.0,1.0,0.0
1291,Sr4 H8,mp-23714,1.0,0.0,0.0,1.0,0.0
1292,Ce2 Sb1 O2,mp-20356,1.0,0.0,0.0,0.0,0.0
1293,Mg18 Au6,mp-17783,1.0,0.0,0.0,0.0,0.0
1294,Nd2 Co2 Si2,mp-21890,1.0,0.0,0.0,0.0,0.0
1295,Mn4 Te8,mp-21893,1.0,0.0,0.0,0.0,0.0
1296,Sc1 Sb1 Ru2,mp-862561,1.0,0.0,0.0,0.0,0.0
1297,V6 Rh2,mp-1578,1.0,0.0,0.0,0.0,0.0
1298,K1 Mg1 H3,mp-23737,1.0,1.0,0.0,1.0,0.0
1299,Ce2 Si2 Os2,mp-505005,1.0,0.0,0.0,0.0,1.0
1300,Rb2 W1 Cl6,mp-30227,1.0,0.0,0.0,0.0,0.0
1301,Cd2 Br4,mp-27934,1.0,0.0,1.0,1.0,1.0
1302,Ti12 Sn10,mp-20382,1.0,0.0,0.0,0.0,0.0
1303,U2 Sb4 Ru2,mp-505019,1.0,0.0,0.0,0.0,0.0
1304,Lu1 Si2 Pd2,mp-3507,1.0,0.0,0.0,0.0,0.0
1305,Nd3 In1 C1,mp-20385,1.0,0.0,0.0,0.0,0.0
1306,Ba1 Li2 Mg2 Si2,mp-570771,1.0,0.0,0.0,0.0,0.0
1307,Y1 Co2 B2,mp-3515,1.0,0.0,0.0,0.0,0.0
1308,Cs2 W1 Cl6,mp-30234,1.0,0.0,0.0,0.0,0.0
1309,Cu4 Bi8 O16,mp-505042,1.0,0.0,0.0,0.0,0.0
1310,Dy2 Al3 Si2,mp-3513,1.0,0.0,0.0,0.0,0.0
1311,Cs1 Fe2 As2,mp-28884,1.0,0.0,0.0,0.0,0.0
1312,Re2 Bi2 O8,mp-27360,1.0,0.0,0.0,0.0,0.0
1313,Hf2 Si4 Cu2,mp-20401,1.0,0.0,0.0,0.0,0.0
1314,Mg2 Fe1 H6,mp-23804,1.0,1.0,0.0,1.0,0.0
1315,Ba1 P4 Pd2,mp-28895,1.0,0.0,0.0,0.0,0.0
1316,Si8 Pd36,mp-505071,1.0,0.0,0.0,0.0,1.0
1317,Cu4 B4 Ir4,mp-28896,1.0,0.0,0.0,0.0,0.0
1318,Dy1 Y1 Ag2,mp-971924,1.0,0.0,0.0,0.0,0.0
1319,Hf4 O8,mp-352,1.0,0.0,0.0,1.0,1.0
1320,B4 Pd4 Ir4,mp-28897,1.0,0.0,0.0,0.0,0.0
1321,Se4 O4 F8,mp-27367,1.0,0.0,0.0,0.0,0.0
1322,Si4 Rh8,mp-20418,1.0,0.0,0.0,0.0,0.0
1323,Ce1 Co3 B2,mp-4454,1.0,0.0,0.0,0.0,0.0
1324,Na2 B2 F8,mp-3521,1.0,0.0,0.0,0.0,0.0
1325,Mg1 Cu1 Sb1,mp-3522,1.0,0.0,0.0,0.0,1.0
1326,Ba2 S6,mp-239,1.0,1.0,1.0,1.0,0.0
1327,B4 H12 O12,mp-23791,1.0,0.0,0.0,0.0,0.0
1328,Mg1 Co3 C1,mp-20424,1.0,0.0,0.0,0.0,0.0
1329,Np1 Si3,mp-20425,1.0,0.0,0.0,0.0,0.0
1330,Al2 Ag2 Se4,mp-14091,1.0,1.0,1.0,1.0,1.0
1331,U1 Co3 B2,mp-10056,1.0,0.0,0.0,0.0,0.0
1332,Ta4 Si4 Rh4,mp-20436,1.0,0.0,0.0,0.0,0.0
1333,Cr1 S2,mp-755263,1.0,0.0,0.0,0.0,0.0
1334,Zn2 Sn2 Sb4,mp-4756,1.0,0.0,0.0,0.0,0.0
1335,Ac2 Cl2 O2,mp-30273,1.0,0.0,0.0,0.0,0.0
1336,Cs4 Sn4 I12,mp-27381,1.0,0.0,0.0,0.0,0.0
1337,Na4 Si2 O6,mp-4533,1.0,0.0,1.0,0.0,0.0
1338,K1 Ag2 P1 S4,mp-12532,1.0,1.0,1.0,0.0,1.0
1339,Na6 Ag2 O4,mp-3527,1.0,0.0,0.0,0.0,0.0
1340,Hf3 Te2,mp-28919,1.0,0.0,0.0,0.0,0.0
1341,Ba2 Si4 Ni4,mp-27388,1.0,0.0,0.0,0.0,0.0
1342,Ti2 Al1 Mo1,mp-861627,1.0,0.0,0.0,0.0,0.0
1343,Pm2 Si1 Au1,mp-865545,1.0,0.0,0.0,0.0,0.0
1344,Pb4 N8 O24,mp-20820,1.0,0.0,0.0,0.0,0.0
1345,Ba1 Li1 H3,mp-23818,1.0,1.0,0.0,1.0,0.0
1346,Sc3 In3 Pt3,mp-31297,1.0,0.0,0.0,0.0,0.0
1347,Li2 Sn8 Au6,mp-31301,1.0,0.0,0.0,0.0,0.0
1348,Li2 Sm2 Se4,mp-35388,1.0,0.0,0.0,0.0,0.0
1349,Cu2 Hg1 Ge1 S4,mp-10952,1.0,0.0,0.0,0.0,0.0
1350,Pt1 Pb1 F6,mp-20458,1.0,0.0,0.0,0.0,0.0
1351,Ni1 Cl2,mp-27396,1.0,0.0,0.0,0.0,0.0
1352,Nb6 Te2 Cl14,mp-28938,1.0,0.0,0.0,0.0,0.0
1353,K2 H2 F4,mp-23846,1.0,0.0,0.0,0.0,0.0
1354,As8 Pd4,mp-20465,1.0,0.0,0.0,0.0,0.0
1355,In2 Hg1 Te4,mp-19765,1.0,1.0,1.0,0.0,0.0
1356,Ba2 Zn10,mp-303,1.0,0.0,0.0,0.0,1.0
1357,Tb1 B2 Ru3,mp-3186,1.0,0.0,0.0,0.0,0.0
1358,Sr2 H2 Cl2,mp-23860,1.0,1.0,0.0,1.0,0.0
1359,Dy3 Bi3 Rh3,mp-30307,1.0,0.0,0.0,0.0,0.0
1360,Pd2 S2 O8,mp-28952,1.0,0.0,0.0,0.0,0.0
1361,H8 Se4 O16,mp-23866,1.0,0.0,0.0,0.0,0.0
1362,Tl4 Pd2 Se4,mp-28954,1.0,0.0,0.0,0.0,0.0
1363,Zr4 Sb4 Pd4,mp-22036,1.0,0.0,0.0,0.0,0.0
1364,Ba4 Si8 O20,mp-3031,1.0,0.0,0.0,0.0,0.0
1365,Ti1 Zn1 Cu2,mp-865930,1.0,0.0,0.0,0.0,0.0
1366,Zn1 In2 Se4,mp-22607,1.0,1.0,1.0,1.0,0.0
1367,Ca4 Si2 Ir4,mp-30312,1.0,0.0,0.0,0.0,0.0
1368,Sr4 Pb4 O12,mp-20489,1.0,0.0,0.0,0.0,1.0
1369,Si6 P4 Pt2,mp-29157,1.0,0.0,1.0,0.0,0.0
1370,Rb1 Bi1 F6,mp-27421,1.0,1.0,0.0,1.0,0.0
1371,La2 N2,mp-567290,1.0,1.0,1.0,1.0,0.0
1372,Sc4 Si4 Rh4,mp-20492,1.0,0.0,0.0,0.0,0.0
1373,Sr2 In4 Ir2,mp-20497,1.0,0.0,0.0,0.0,1.0
1374,Sr4 H8 O8,mp-27425,1.0,0.0,0.0,0.0,0.0
1375,Sm4 Ge4 Ru2,mp-22044,1.0,0.0,0.0,0.0,0.0
1376,Hf4 In10,mp-22050,1.0,0.0,0.0,0.0,0.0
1377,In12 Se18,mp-612740,1.0,0.0,0.0,0.0,0.0
1378,Gd1 Tl3,mp-20503,1.0,0.0,0.0,0.0,0.0
1379,Cs2 K1 Zr1 O1 F5,mp-40143,1.0,0.0,1.0,0.0,0.0
1380,K12 Bi4 Se12,mp-28980,1.0,0.0,0.0,0.0,0.0
1381,Y2 In4 Ni2,mp-22056,1.0,0.0,0.0,0.0,1.0
1382,Zr2 Cl2,mp-27440,1.0,0.0,0.0,0.0,0.0
1383,Na2 Ga2 H8,mp-23918,1.0,0.0,0.0,0.0,0.0
1384,Al10 W2,mp-30337,1.0,0.0,0.0,0.0,0.0
1385,Ce1 Mg3,mp-1798,1.0,0.0,0.0,0.0,0.0
1386,Ta12 Si4 Te24,mp-505206,1.0,0.0,0.0,0.0,0.0
1387,Na2 Tl1 Bi1,mp-864898,1.0,0.0,0.0,0.0,0.0
1388,In1 Pt3,mp-20516,1.0,0.0,0.0,0.0,0.0
1389,Li2 In1 Ag1,mp-30344,1.0,0.0,0.0,0.0,1.0
1390,Tm3 Ag3 Pb3,mp-20522,1.0,0.0,0.0,0.0,0.0
1391,Li1 Pm2 Ge1,mp-861955,1.0,0.0,0.0,0.0,0.0
1392,Si2 Cu8 P16,mp-28995,1.0,0.0,0.0,0.0,0.0
1393,Cu4 S4 O16,mp-20525,1.0,0.0,0.0,0.0,0.0
1394,Sc1 Ag4,mp-30354,1.0,0.0,0.0,0.0,0.0
1395,Nd2 Co2 Ge2,mp-20531,1.0,0.0,0.0,0.0,0.0
1396,Sr8 Ag8,mp-30355,1.0,0.0,0.0,0.0,1.0
1397,U1 Cr6 P4,mp-29005,1.0,0.0,0.0,0.0,0.0
1398,Sr9 Ag6,mp-30357,1.0,0.0,0.0,0.0,0.0
1399,Rb3 Au1 O1,mp-4405,1.0,1.0,0.0,1.0,0.0
1400,Sr2 In4 Pt2,mp-20533,1.0,0.0,0.0,0.0,0.0
1401,V1 Pt3,mp-2705,1.0,0.0,0.0,0.0,0.0
1402,Ba2 Li4 Si2,mp-27454,1.0,0.0,0.0,0.0,0.0
1403,Y2 Cl6,mp-27455,1.0,0.0,0.0,1.0,0.0
1404,Ba4 Br8,mp-27456,1.0,1.0,0.0,0.0,0.0
1405,Ba1 Au5,mp-30364,1.0,0.0,0.0,0.0,0.0
1406,Nb3 O3,mp-2311,1.0,0.0,0.0,0.0,0.0
1407,Be4 Au4,mp-30365,1.0,0.0,0.0,0.0,0.0
1408,Co3 Sn3,mp-20536,1.0,0.0,0.0,0.0,0.0
1409,V6 Pt2,mp-2211,1.0,0.0,0.0,0.0,1.0
1410,Sc1 In3,mp-20539,1.0,0.0,0.0,0.0,0.0
1411,S32 O4,mp-27465,1.0,0.0,0.0,0.0,0.0
1412,K2 Mg1 H4,mp-23956,1.0,1.0,0.0,0.0,0.0
1413,Sr2 In8 Pd2,mp-19991,1.0,0.0,0.0,0.0,0.0
1414,U2 Bi1 N2,mp-27468,1.0,0.0,0.0,0.0,0.0
1415,Ga2 Cu2 Te4,mp-3839,1.0,1.0,1.0,0.0,0.0
1416,Cd10 Au6,mp-30371,1.0,0.0,0.0,0.0,0.0
1417,U2 Ge2 Se2,mp-3579,1.0,0.0,0.0,0.0,0.0
1418,Al1 As1,mp-2172,1.0,1.0,1.0,0.0,1.0
1419,Li5 Br2 N1,mp-29025,1.0,1.0,0.0,1.0,0.0
1420,Sc1 Ru1,mp-30867,1.0,0.0,0.0,0.0,0.0
1421,Zn2 Si2 As4,mp-3595,1.0,1.0,1.0,1.0,1.0
1422,Li2 Ga1 Au1,mp-30381,1.0,0.0,0.0,0.0,0.0
1423,Mg8 B16 C16,mp-3582,1.0,0.0,0.0,0.0,0.0
1424,Y4 Si4 Ni4,mp-20557,1.0,0.0,0.0,0.0,1.0
1425,Nd3 In3 Rh3,mp-31330,1.0,0.0,0.0,0.0,0.0
1426,Ba1 Co2 As2,mp-20563,1.0,0.0,0.0,0.0,0.0
1427,Li2 In1 Au1,mp-30392,1.0,0.0,0.0,0.0,0.0
1428,Tb2 Co4,mp-2265,1.0,0.0,0.0,0.0,1.0
1429,Li2 Sb1 Au1,mp-30404,1.0,0.0,0.0,0.0,0.0
1430,Li2 Sn1 Au1,mp-30405,1.0,0.0,0.0,0.0,0.0
1431,Ba4 Ge4 Pt4,mp-22151,1.0,0.0,0.0,0.0,0.0
1432,Sc4 In2,mp-31348,1.0,0.0,0.0,0.0,0.0
1433,Ta6 N10,mp-27488,1.0,0.0,0.0,1.0,0.0
1434,Dy2 Ge2 Au2,mp-22149,1.0,0.0,0.0,0.0,0.0
1435,Nd1 B1 Rh3,mp-3591,1.0,0.0,0.0,0.0,1.0
1436,Zr4 In2 Co4,mp-22150,1.0,0.0,0.0,0.0,0.0
1437,Mg8 Au24,mp-30408,1.0,0.0,0.0,0.0,0.0
1438,Na2 Fe2 As2,mp-22152,1.0,0.0,0.0,0.0,0.0
1439,Hf1 Ni1 Sn1,mp-924128,1.0,1.0,1.0,0.0,0.0
1440,Hf4 In2 C2,mp-22156,1.0,0.0,0.0,0.0,0.0
1441,Ca1 Ac1 Zn2,mp-864962,1.0,0.0,0.0,0.0,0.0
1442,K1 Cl1,mp-23193,1.0,1.0,0.0,0.0,1.0
1443,U2 Ni2 As4,mp-22159,1.0,0.0,0.0,0.0,0.0
1444,Cd1 Ga1 Rh2,mp-861909,1.0,0.0,0.0,0.0,0.0
1445,Pt4 F24,mp-505319,1.0,0.0,0.0,0.0,0.0
1446,Pd2 Pb4,mp-20599,1.0,0.0,0.0,0.0,1.0
1447,Nd1 Pb3,mp-20601,1.0,0.0,0.0,0.0,0.0
1448,Ce2 Mn2 Si2,mp-505331,1.0,0.0,0.0,0.0,0.0
1449,Tb4 In2,mp-20608,1.0,0.0,0.0,0.0,0.0
1450,La2 Fe2 Si2,mp-505332,1.0,0.0,0.0,0.0,0.0
1451,Sc2 B1 C2,mp-10343,1.0,0.0,0.0,0.0,0.0
1452,Zr6 Ga2 Co1,mp-22167,1.0,0.0,0.0,0.0,0.0
1453,Y2 Al8 Ni2,mp-3602,1.0,0.0,0.0,0.0,0.0
1454,Na1 Cu4 S4,mp-29069,1.0,0.0,0.0,0.0,0.0
1455,Th1 Co2 Ge2,mp-3605,1.0,0.0,0.0,0.0,0.0
1456,Sb4 Rh4,mp-20619,1.0,0.0,0.0,0.0,0.0
1457,Cu4 O2,mp-361,1.0,0.0,0.0,0.0,1.0
1458,Dy3 In3 Au3,mp-22177,1.0,0.0,1.0,0.0,1.0
1459,Y2 Ti2 Si2,mp-22179,1.0,0.0,0.0,0.0,0.0
1460,Si4 Pd12,mp-20622,1.0,0.0,0.0,0.0,0.0
1461,Ba2 Cd2 Bi4,mp-30426,1.0,0.0,0.0,0.0,0.0
1462,Ba1 P2 Ru2,mp-4484,1.0,0.0,0.0,0.0,0.0
1463,Hf3 Fe3 Ge3,mp-22191,1.0,0.0,0.0,0.0,0.0
1464,Ba1 Sn3 Pt1,mp-30433,1.0,0.0,0.0,0.0,0.0
1465,As4 Pb6 O16,mp-505368,1.0,0.0,0.0,0.0,0.0
1466,Ti1 Cu4 S4,mp-29091,1.0,1.0,1.0,1.0,0.0
1467,Ba2 Tl4,mp-30434,1.0,0.0,0.0,0.0,0.0
1468,Dy1 Cu1 Se2,mp-675349,1.0,0.0,1.0,0.0,0.0
1469,Be17 Nb2,mp-30441,1.0,0.0,0.0,0.0,0.0
1470,Sr6 Ge4 N4,mp-29088,1.0,0.0,0.0,0.0,0.0
1471,Ti1 Nb1 Re2,mp-865653,1.0,0.0,0.0,0.0,0.0
1472,Y1 Zn12,mp-30886,1.0,0.0,0.0,0.0,0.0
1473,Li1 Zn1 N1,mp-7575,1.0,1.0,1.0,1.0,1.0
1474,Li2 Zn2 Sb2,mp-9919,1.0,1.0,1.0,1.0,0.0
1475,Dy1 Bi1 Pt1,mp-30453,1.0,0.0,0.0,0.0,1.0
1476,V8 C4,mp-20648,1.0,0.0,0.0,0.0,0.0
1477,Er1 Bi1 Pt1,mp-30454,1.0,0.0,0.0,0.0,0.0
1478,Ho1 Bi1 Pt1,mp-30455,1.0,0.0,0.0,0.0,0.0
1479,Zr1 Al1 Cu2,mp-3736,1.0,0.0,0.0,0.0,0.0
1480,In16 S24,mp-22216,1.0,0.0,0.0,0.0,1.0
1481,Lu1 Ni1 Bi1,mp-30457,1.0,0.0,0.0,0.0,0.0
1482,Dy1 Sb1 Pt1,mp-16327,1.0,0.0,1.0,0.0,0.0
1483,Al1 P1,mp-1550,1.0,1.0,1.0,0.0,0.0
1484,Cr1 H1,mp-24287,1.0,0.0,0.0,0.0,0.0
1485,Sn8 Pt2,mp-20662,1.0,0.0,0.0,0.0,0.0
1486,Zn8 P16,mp-11025,1.0,0.0,0.0,0.0,0.0
1487,Nb3 Ge6,mp-363,1.0,0.0,0.0,0.0,0.0
1488,Mn1 Sb1 Ru2,mp-864957,1.0,0.0,0.0,0.0,0.0
1489,Zr4 Mn4 Si4,mp-22227,1.0,0.0,0.0,0.0,0.0
1490,Li4 B4 O8,mp-3635,1.0,0.0,0.0,0.0,0.0
1491,Rb2 In2 Te4,mp-22255,1.0,1.0,0.0,0.0,0.0
1492,Ca2 Ga1 Cu2,mp-30472,1.0,0.0,0.0,0.0,0.0
1493,Al1 Rh1,mp-364,1.0,0.0,0.0,0.0,0.0
1494,Mn4 As4,mp-22240,1.0,0.0,0.0,0.0,1.0
1495,Ca1 Pt5,mp-30481,1.0,0.0,0.0,0.0,0.0
1496,Sc2 Cu2 O4,mp-3642,1.0,1.0,0.0,1.0,1.0
1497,Zr4 As8,mp-27606,1.0,0.0,0.0,0.0,0.0
1498,Cs4 Ag4 Se16,mp-18105,1.0,0.0,0.0,0.0,0.0
1499,Mg2 Si2 P4,mp-2961,1.0,1.0,1.0,0.0,0.0
1500,Ho4 In2,mp-20686,1.0,0.0,0.0,0.0,0.0
1501,Mg4 B16,mp-365,1.0,0.0,0.0,1.0,0.0
1502,Hf2 Cu4 Te6,mp-3650,1.0,0.0,0.0,0.0,0.0
1503,Nd2 Fe2 Si2,mp-20690,1.0,0.0,0.0,0.0,0.0
1504,Mg2 Cd6,mp-30491,1.0,0.0,0.0,0.0,0.0
1505,Zr6 Co1 As2,mp-29135,1.0,0.0,0.0,0.0,0.0
